id	interest_name	facebook_page	facebook_id	url	category	topic	political_bias
18725	"PETA (People for the Ethical Treatment of Animals)"	"PETA (People for the Ethical Treatment of Animals)"	5647744585	http://PETA.org	Nonprofit Organization	-	-0.2723
18726	"WPLG"	"WPLG"	384964321562225	http://www.wplg.com.ar	Local Business	News and entertainment	-0.4854
18727	"abc7"	"ABC7"	38245492451	http://www.abc7.com	TV Channel	News and entertainment	-0.4798
18728	"Collective Evolution"	"Collective Evolution"	131929868907	www.collective-evolution.com	Media/News Company	Education	-0.3558
18729	"Bloomberg Businessweek"	"Bloomberg Businessweek"	999858433492677	https://www.bloomberg.com/businessweek	Local Business	Business and industry	-0.4481
18730	"The People's Voice"	"The People's Voice"	219195584894557	http://yournewswire.com	Local Business	Business and industry	-0.0667
18731	"WBBM (AM)"	"CBS Chicago"	27510768337	http://chicago.cbslocal.com/	Radio Station	News and entertainment	-0.4734
18732	"Twitter"	"Twitter"	278029242253904	https://happening.twitter.com/music.html	-	Business and industry	-0.1772
18733	"The Times-Picayune"	""	-	-	Local Business	News and entertainment	0.1213
18734	"Wikipedia"	"Wikipedia"	33138223345	https://www.wikipedia.org	Nonprofit Organization	Business and industry	-0.0610
18735	"KCTV"	"KCTV"	163058230403127	http://www.kctv.co.th	Local Business	News and entertainment	0.2989
18736	"Associated Press"	""	-	-	Author	News and entertainment	-0.5492
18737	"WCBS-TV"	""	-	-	Local Business	News and entertainment	-0.4945
18738	"We the People (petitioning system)"	""	-	-	Software	Technology	1.1356
18739	"KIRO 7 News"	"KIRO 7 News"	112779115408517	http://kiro7.com	TV Channel	-	-0.1233
18740	"Bloomberg"	"Bloomberg"	266790296879	http://www.bloomberg.com/	Local Business	-	-0.4822
18741	"KNSD"	"KNSD"	159430034125049	http://www.knsd.digital	Local Business	News and entertainment	-0.3302
18742	"KSDK"	"KSDK"	193030267487099	http://www.kajornsak.com/	Local Business	News and entertainment	0.3969
18743	"FOX 5 / Fox5NY.com"	"FOX 5 / Fox5NY.com"	39442131319	http://www.fox5ny.com	TV Channel	-	-0.2119
18744	"WRAL-TV"	""	-	-	Local Business	News and entertainment	0.1909
18745	"Business Insider"	"Business Insider"	20446254070	http://www.businessinsider.com/	-	Business and industry	-0.2150
18746	"WorldTruth.TV"	"WorldTruth.TV"	114896831960040	www.worldtruth.tv	Broadcasting & Media Production Company	News and entertainment	-0.3506
18747	"Good Morning America"	"Good Morning America"	59306617060	http://goodmorningamerica.com	-	News and entertainment	0.0904
18748	"KXAN-TV"	""	-	-	Landmark & Historical Place	News and entertainment	0.2060
